a	ə
eksportując	ɛk.spɔrˈtu.jɔnt͡s
eksportujący	ɛk.spɔr.tuˈjɔn.t͡sɨ
ekspres	ˈɛk.sprɛs
ekspresjonizm	ɛk.sprɛsˈjɔ.ɲizm
ekstaza	ɛkˈsta.za
ekstremalny	ɛk.strɛˈmal.nɨ
ekstremizm	ɛkˈstrɛ.mʲizm
ekstremum	ɛkˈstrɛ.mum
ekwilibrysta	ɛk.fʲi.lʲiˈbrɨ.sta
ekwilibrystyka	ɛk.fʲi.lʲi.brɨˈstɨ.ka
elastyczny	ɛ.laˈstɨt͡ʂ.nɨ
elegancki	ɛ.lɛˈɡan.t͡skʲi
elektroda	ɛ.lɛkˈtrɔ.da
elektrolit	ɛ.lɛkˈtrɔ.lʲit
elektron	ɛlɛktrɔn
elektroniczna	ɛ.lɛk.trɔˈɲit͡ʂ.na
elektroniczny	ɛ.lɛk.trɔˈɲit͡ʂ.nɨ
elektronika	ˈɛlɛktronikɒ
elektronowolt	ɛ.lɛk.trɔ.nɔˈvɔlt
elektronowy	ɛlɛktrɔˈnɔvɨ
elektrownia	ɛ.lɛkˈtrɔv.ɲa
elektryczność	ɛ.lɛkˈtrɨt͡ʂ.nɔɕt͡ɕ
elektryczny	ɛ.lɛkˈtrɨt͡ʂ.nɨ
elektryk	ɛˈlɛk.trɨk
element	ˈel.ɪ.mənt
elementarny	ɛ.lɛ.mɛnˈtar.nɨ
elf	ɛlf
elipsa	ɛˈlʲip.sa
elita	ɛˈlʲi.ta
email	ˈiːmeɪl
embargo	ɪmˈbɑɹɡoʊ
emerytura	ɛ.mɛ.rɨˈtu.ra
emitować	ɛ.mʲiˈtɔ.vat͡ɕ
emocja	ɛˈmɔt͡s.ja
emocjonalny	ɛ.mɔt͡s.jɔˈnal.nɨ
empiryczny	ɛm.pʲiˈrɨt͡ʂ.nɨ
encyklopedia	ɛn.t͡sɨk.lɔˈpɛd.ja
endonim	ɛnˈdɔ.ɲim
enerdowski	ɛ.nɛrˈdɔf.skʲi
energetyk	ɛ.nɛrˈɡɛ.tɨk
energia	ə.nəɾˈʒi.ə
enklawa	ɛŋˈkla.va
entalpia	ˈɛntɒlpiʲɒ
enter	ˈɛntə(ɹ)
entomolog	ɛn.tɔˈmɔ.lɔk
entomologia	ɛn.tɔ.mɔˈlɔ.ɡʲa
entropia	ɛnˈtrɔ.pʲa
entuzjasta	ɛn.tuzˈja.sta
entuzjastka	ɛn.tuzˈja.stka
entuzjazm	ɛnˈtuz.jazm
enzym	ˈɛn.zɨm
epicykl	ɛ.pʲi.t͡sɨkl
epidemia	ɛ.pʲiˈdɛ.mʲa
epifit	ɛˈpʲi.fʲit
epilepsja	ɛ.pʲiˈlɛp.sja
epilog	ɛˈpʲi.lɔk
episkopat	ɛ.pʲiˈskɔ.pat
epitet	ɛˈpʲi.tɛt
epizod	ɛˈpʲi.zɔt
epoka	ɛˈpɔ.ka
epos	ˈɛ.pos
er	ɜː
era	ˈɪə̯ɹ.ə
erb	ɛrp
eremita	e.reːˈmiː.ta
ergo	ˈer.ɡoː
ergonomia	ɛr.ɡɔˈnɔ.mʲa
ergonomicznie	ɛr.ɡɔ.nɔˈmʲit͡ʂ.ɲɛ
ergonomiczny	ɛr.ɡɔ.nɔˈmʲit͡ʂ.nɨ
ergonomie	ɛʁ.ɡɔ.nɔ.mi
ero	ˈero
erom	ˈɛ.rɔm
erotyczna	ɛ.rɔˈtɨt͡ʂ.na
erotyczne	ɛ.rɔˈtɨt͡ʂ.nɛ
erotyczny	ɛ.rɔˈtɨt͡ʂ.nɨ
errata	ɛˈɹɑːtə
erudycja	ɛ.ruˈdɨt͡s.ja
erytrocyt	ɛ.rɨˈtrɔ.t͡sɨt
esemes	ɛˈsɛ.mɛs
esemesować	ˌɛ.sɛ.mɛ.ˈsɔ.vɑtɕ
esemesując	ɛ.sɛ.mɛˈsu.jɔnt͡s
esemesujący	ɛ.sɛ.mɛ.suˈjɔn.t͡sɨ
esesman	ɛˈsɛs.man
esperanto	e.speˈran.to
esteta	ɛˈstɛ.ta
estetycznie	ɛ.stɛˈtɨt͡ʂ.ɲɛ
estetyczny	ɛ.stɛˈtɨt͡ʂ.nɨ
estetyka	ɛ.stɛˈtɨ.ka
estetyzm	ɛˈstɛ.tɨzm
estoński	ɛˈstɔɲ.skʲi
etan	ˈetɑn
etanol	ˈɛtɒnol
etap	ˈɛ.tap
eter	ˈedʲer
etiopski	ɛtˈjɔp.skʲi
etruski	ˈetruski
etyka	ˈɛ.tɨ.ka
etymologia	e.ty.moˈlo.ɡi.a
eucharystia	ɛw.xaˈrɨ.stja
eucharystyczny	ɛw.xa.rɨˈstɨt͡ʂ.nɨ
eufemistycznie	ɛ.wfɛ.mʲiˈstɨt͡ʂ.ɲɛ
eufemizm	ɛˈwfɛ.mʲizm
euforia	ˈeuforiɑ
eukaliptus	ɛw.kaˈlʲip.tus
eunuchoidyzm	ɛw.nu.xɔˈi.dɨzm
euro	ˈjʊəɹəʊ
eurodance	ˌɛwrɔˈdɛ̃s
europ	ˈɛ.wrɔp
eł	ɛw
eś	ɛɕ
fabryka	ˈfa.brɨ.ka
fabuła	faˈbu.wa
faceci	faˈt͡sɛ.t͡ɕi
facet	ˈfæsɪt
faceta	faˈt͡s̪ɛt̪a
facetów	faˈt͡sɛ.tuf
fag	fæɡ
fagot	ˈfæɡ.ət
fajek	ˈfa.jɛk
fajerwerk	faˈjɛr.vɛrk
fajka	ˈfaj.ka
fajna	ˈfaj.na
fajne	ˈfaj.nɛ
fajnie	ˈfajɲɛ
fajniej	ˈfaj.ɲɛj
fajniejszy	fajˈɲɛj.ʂɨ
fajno	ˈfajn̪ɔ
fajny	ˈfaj.nɨ
faks	faks
fakt	fakt
faktdokonany	fakt dɔ.kɔˈna.nɨ
faktura	fakˈtu.ra
fal	ˈfɒl
fala	ˈfala̝
falanga	faˈlan.ɡa
falochron	faˈlɔ.xrɔn
fan	ˈfæn
fanatyczka	fa.naˈtɨt͡ʂ.ka
fanatyk	faˈna.tɨk
fanka	ˈfan.ka
fant	fant
fantastyczny	fan.taˈstɨt͡ʂ.nɨ
fantastyka	fan.taˈstɨ.ka
faraon	fara.on
farba	ˈfɒrbɒ
farby	ˈfarbɨ
farerski	faˈrɛr.skʲi
farfocel	faˈrfɔ.t͡sɛl
farma	ˈfar.ma
farmaceuta	far.maˈt͡sɛw.ta
farmaceutka	far.maˈt͡sɛw.tka
farmaceutyczny	far.ma.t͡sɛwˈtɨt͡ʂ.nɨ
farmakologia	far.ma.kɔˈlɔ.ɡʲa
farmakologiczny	far.ma.kɔ.lɔˈɡʲit͡ʂ.nɨ
farmazon	farˈma.zɔn
farsa	ˈfaɾ.sə
fart	fɑːt
fartuch	ˈfar.tux
faryzeusz	fa.rɨˈzɛ.uʂ
fasada	faˈsada
fasola	faˈsɔ.la
faszysta	faˈʂɨ.sta
faszyzm	ˈfa.ʂɨzm
fatalista	fa.taˈlʲi.sta
fater	ˈfa.tɛr
faul	faʊ̯l̩
fauna	ˈfɔː.nə
fax	fæks
faza	ˈfa.za
fałsz	fawʂ
fałszerstwo	fawˈʂɛr.stfɔ
fałszerz	ˈfaw.ʂɛʂ
fałszować	fawˈʂɔ.vat͡ɕ
fałszywka	fawˈʂɨf.ka
fałszywy	fawˈʂɨ.vɨ
fechtunek	fɛxˈtu.nɛk
felga	ˈfɛlka
felieton	fɛˈlʲɛ.tɔn
feminazistka	fɛ.mʲi.naˈʑi.stka
feministka	fɛ.mʲiˈɲi.stka
feministyczny	fɛ.mʲi.ɲiˈstɨt͡ʂ.nɨ
feminizm	fɛˈmʲi.ɲizm
fenek	ˈfɛnɛk
fenicki	fɛˈɲit͡s.kʲi
feniks	fɛˈniks
fenol	ˈfɛnɔl
fenomenologia	fɛ.nɔ.mɛ.nɔˈlɔ.ɡʲa
fenyloalanina	fɛ.nɨ.lɔ.a.laˈɲi.na
ferie	feriə
ferm	fɛrm
fermion	ˈfɜːmɪɒn
festiwal	fɛˈsti.val
feta	ˈfɛtə
ficzer	ˈfʲi.t͡ʂɛr
fideista	fiˈde̯is.ta
fideizm	fʲiˈdɛ.izm
figa	ˈfi.ɡə
figi	ˈfʲi.ɡʲi
figiel	ˈfʲi.ɡʲɛl
figowiec	fʲiˈɡɔ.vʲɛt͡s
figura	ˈfiɡurɒ
filar	ˈfʲi.lar
filc	fʲilt͡s
filiżaneczka	fʲi.lʲi.ʐaˈnɛt͡ʂ.ka
filiżanka	fʲi.lʲiˈʐan.ka
film	fɪlm
filmie	ˈfʲil.mʲɛ
filmoteka	fʲil.mɔˈtɛ.ka
filmować	fʲilˈmɔ.vat͡ɕ
filmując	fʲilˈmu.jɔnt͡s
filmujący	fʲil.muˈjɔn.t͡sɨ
filolog	fʲiˈlɔ.lɔk
filologia	fʲi.lɔˈlɔ.ɡʲa
filozof	fʲiˈlɔ.zɔf
filozofia	fʲi.lɔˈzɔ.fʲa
filozoficzny	fʲi.lɔ.zɔˈfʲit͡ʂ.nɨ
filtr	fʲiltr
finalista	fʲi.naˈlʲi.sta
finalistka	fʲi.naˈlʲi.stka
finał	ˈfʲi.naw
fiolet	fʲɔˈlɛt
fioletowawy	fʲɔ.lɛ.tɔˈva.vɨ
fioletowy	fʲɔ.lɛˈtɔ.vɨ
fiolka	ˈfʲɔl.ka
fiord	fʲɔrt
fiołek	ˈfʲɔ.wɛk
firma	ˈfɪrma
firmakrzak	ˈfʲir.ma kʂak
firmie	ˈfʲir.mʲɛ
firmy	ˈfʲir.mɨ
firmą	ˈfʲir.mɔ̃
firmę	ˈfʲir.mɛ
fistaszek	fʲiˈsta.ʂɛk
fitness	ˈfɪtnəs
fitochemia	fʲi.tɔˈxɛ.mʲa
fiut	fʲut
fizjoterapeuta	fʲiz.jɔ.tɛ.raˈpɛw.ta
fizyczny	fʲiˈzɨt͡ʂ.nɨ
fizyk	ˈfʲi.zɨk
fizyka	ˈfʲi.zɨ.ka
fiński	ˈfʲiɲ.skʲi
flacha	ˈfla.xa
flaga	ˈflaːɣa
flak	flæk
flaki	ˈfla.kʲi
flakon	flakɔnɡ
flamandzki	flaˈmant͡skʲi
flaming	ˈfleɪmɪŋ
flaszeczka	flaˈʂɛt͡ʂ.ka
flaszka	ˈflaʂ.ka
flauta	ˈflaʊtə
flecista	flɛˈt͡ɕi.sta
flegmatyczny	flɛɡ.maˈtɨt͡ʂ.nɨ
flet	flɛ
flinta	ˈflʲin.ta
flirt	flɜː(ɹ)t
flora	ˈflɔː.ɹə
florencki	flɔˈrɛn.t͡skʲi
flot	flo
flota	ˈflotɑ
fluor	fluːər
flądra	ˈflɔn.dra
fobia	ˈfobiɑ
fok	ˈfok
foka	ˈfokɒ
fokstrot	ˈfɔk.strɔt
folder	ˈfoʊɫdɚ
folia	fo.ˈli.a
folijka	fɔˈlʲij.ka
folklor	ˈfɔl.klɔr
gabinet	ɡaˈbʲi.nɛt
gacie	ˈɡa.t͡ɕɛ
gad	ɡæd
gada	ˈɡad̪ˠə
gadaj	ˈɡa.daj
gadatliwy	ɡa.datˈlʲi.vɨ
gadać	ˈɡa.dat͡ɕ
gadolin	ɡaˈdɔ.lʲin
gadzinówka	ɡa.d͡ʑiˈnuf.ka
gagauski	ɡaˈɡaw.skʲi
gaik	ˈɡa.ik
gaj	ɡaj
gaje	ˈɡaje
gajowy	ɡaˈjɔ.vɨ
gal	ɡæl
gala	ˈɡɑːlə
galaktyka	ɡaˈlak.tɨ.ka
galeon	ɡaˈlɛ.ɔn
galernik	ɡaˈlɛr.ɲik
galop	ɡalɔp
galopując	ɡa.lɔˈpu.jɔnt͡s
galopujący	ɡa.lɔ.puˈjɔn.t͡sɨ
gamajda	ɡaˈmaj.da
gamepad	ˈɡeɪm.pæd
gamoń	ˈɡa.mɔɲ
gamratka	ɡaˈmrat.ka
ganek	ˈɡa.nɛk
gangrena	ɡanˈɡrɛ.na
gap	ɡæp
gapa	ˈkaːpa
gapićsię	ˈɡa.pʲit͡ɕ.ɕɛ
garaż	ˈɡa.raʂ
garb	ɡɑː(ɹ)b
garbarz	ˈɡar.baʂ
garbując	ɡarˈbu.jɔnt͡s
garbujący	ɡar.buˈjɔn.t͡sɨ
garbus	ˈɡar.bus
garderoba	ɡar.dɛˈrɔ.ba
gardzi	ˈɡar.d͡ʑi
gardzicie	ɡarˈd͡ʑi.t͡ɕɛ
gardziel	ˈɡar.d͡ʑɛl
gardzimy	ɡarˈd͡ʑi.mɨ
gardzisz	ˈɡar.d͡ʑiʂ
gardzić	ˈɡar.d͡ʑit͡ɕ
gardził	ˈɡar.d͡ʑiw
gardziła	ɡarˈd͡ʑi.wa
gardziłaby	ɡar.d͡ʑiˈwa.bɨ
gardziłabym	ɡar.d͡ʑiˈwa.bɨm
gardziłabyś	ɡar.d͡ʑiˈwa.bɨɕ
gardziłam	ɡarˈd͡ʑi.wam
gardziłaś	ɡarˈd͡ʑi.waɕ
gardziłby	ɡarˈd͡ʑiw.bɨ
gardziłbym	ɡarˈd͡ʑiw.bɨm
gardziłbyś	ɡarˈd͡ʑiw.bɨɕ
gardziłem	ɡarˈd͡ʑi.wɛm
gardziłeś	ɡarˈd͡ʑi.wɛɕ
gardziło	ɡarˈd͡ʑi.wɔ
gardziłoby	ɡar.d͡ʑiˈwɔ.bɨ
gardzą	ˈɡar.d͡zɔ̃
gardzę	ˈɡar.d͡zɛ
gardło	ˈɡar.dwɔ
garnek	ˈɡar.nɛk
garnirunek	ˌɡarʲɲiˈrũnɛk
garnitur	ɡarˈɲi.tur
garnuszek	ɡarˈnu.ʂɛk
garnąć	ˈɡar.nɔɲt͡ɕ
garści	ˈɡar.ɕt͡ɕi
garść	ɡarɕt͡ɕ
gasi	ˈɡaɕi
gasić	ˈɡa.ɕit͡ɕ
gasnąć	ˈɡas.nɔɲt͡ɕ
gastrofaza	ɡa.strɔˈfa.za
gaszę	ˈɡa.ʂɛ
gatunek	ɡaˈtu.nɛk
gaworzyć	ɡaˈvɔ.ʐɨt͡ɕ
gawron	ˈɡa.vrɔn
gaz	ɡɑz
gazdodechy	ˈɡas dɔ ˈdɛxɨ
gazela	ɡaˈzɛ.la
gazeta	ɡaˈzɛ.ta
gazetowy	ɡazɛˈtɔvɨ
gazowy	ɡaˈzɔ.vɨ
gazziemny	ɡas ˈʑɛm.nɨ
gazłupkowy	ɡas vupˈkɔ.vɨ
gała	ˈɡa.wa
gałeczka	ɡaˈwɛt͡ʂ.ka
gałka	ˈɡaw.ka
gałkamuszkatołowa	ˈɡaw.ka muʂ.ka.tɔˈwɔ.va
gałązka	ɡaˈwɔ̃.ska
gałąź	ˈɡa.wɔɲɕ
gaś	ɡaɕ
gaśnica	ɡaɕˈɲi.t͡sa
gaźnik	ˈɡaʑ.ɲik
gaża	ˈɡa.ʐa
gąbka	ˈɡɔm.pka
gąsienica	ɡɔɲ.ɕɛˈɲi.t͡sa
gąsior	ˈɡɔɲ.ɕɔr
gąsiorek	ɡɔɲˈɕɔ.rɛk
gąsię	ˈɡɔɲ.ɕɛ
gąska	ˈɡɔ̃.ska
habit	ˈhæbɪt
hacham	ˈxaxam
haczyk	ˈxa.t͡ʂɨk
hadis	ˈxa.dis
hadron	ˈhæd.ɹɑn
haf	haːv
hafn	xafn
haft	hæft
haftować	xafˈtɔ.vat͡ɕ
hajs	xajs
hak	haːk
haki	ˈhaːcɪ
hal	hal
hala	ˈa.lə
halabarda	xa.laˈbar.da
hale	heɪl
halibut	ˈhæ.lɨ.bət
halo	ˈheɪləʊ
hamak	ˈxa.mak
hamowanie	xa.mɔˈva.ɲɛ
hamować	xaˈmɔ.vat͡ɕ
hamując	xaˈmu.jɔnt͡s
hamujący	xa.muˈjɔn.t͡sɨ
hamulec	xaˈmu.lɛt͡s
handel	ˈɦɑn.dəl
handlarka	xanˈdlar.ka
handlarz	ˈxan.dlaʂ
hangar	ˈhæŋə
haracz	ˈxa.rat͡ʂ
harakiri	xaraˈkiri
harcerz	ˈxar.t͡sɛʂ
harda	ˈhaːɾˠd̪ˠə
harde	aʁd
hardość	ˈxar.dɔɕt͡ɕ
hardy	ˈhɑɹdi
harem	ˈhɑːɹiːm
harfa	ɦarfa
harmonia	əɾ.muˈni.ə
harmonogram	xar.mɔˈnɔ.ɡram
harować	xaˈrɔ.vat͡ɕ
harpun	ˈxar.pun
hart	hɑːt
hartducha	xart ˈdu.xa
hartować	xarˈtɔ.vat͡ɕ
has	hæz
hasać	ˈxa.sat͡ɕ
haszcze	ˈxaʂ.t͡ʂɛ
haszysz	ˈxa.ʂɨʂ
hasło	ˈxa.swɔ
haubica	xawˈbʲi.t͡sa
hawajski	xaˈvaj.skʲi
hazard	ˈhæzɚd
hałas	ˈxawas̪
hańba	ˈxaɲ.ba
headshot	ˈxɛt.ʂɔt
heban	ˈxɛ.ban
hebel	ˈxɛ.bɛl
hebrajska	xɛˈbraj.ska
hebrajski	xɛˈbraj.skʲi
hebrajskie	xɛˈbraj.skʲɛ
hedonista	xɛ.dɔˈɲi.sta
hedonizm	xɛˈdɔ.ɲizm
hegemonia	xɛ.ɡɛˈmɔɲ.ja
heheszki	xɛˈxɛʂ.kʲi
hej	haj
hejt	xɛjt
hejter	ˈxɛj.tɛr
heksan	ˈxɛk.san
hektar	ˈxɛkt̪ar
hel	heːl
heliocentryzm	xɛ.lʲɔˈt͡sɛn.trɨzm
helisa	xɛˈlʲi.sa
hemoliza	xɛ.mɔˈlʲi.za
henr	xɛ̃n̪r̥
heptan	ˈxɛp.tan
herb	hɜːb
herbaciarnia	xɛr.baˈt͡ɕar.ɲa
herbata	xɛrˈba.ta
herbu	ɛʁ.by
herby	ˈxɛrbɨ
herc	xɛrt͡s̪
heretycki	xɛ.rɛˈtɨt͡s.kʲi
heretyk	xɛˈrɛ.tɨk
herezja	xɛˈrɛz.ja
heroina	xɛ.rɔˈi.na
herszt	xɛrʂt
heteroseksualizm	xɛ.tɛ.rɔ.sɛk.suˈa.lʲizm
hetman	ˈxɛt.man
hełm	xɛwm
hibernacja	xʲi.bɛrˈnat͡s.ja
hidżab	ˈxʲi.d͡ʐap
hiena	ˈie.na
hienacmentarna	ˈxʲɛ.na t͡smɛnˈtar.na
hierarcha	hi.eˈrar.kʰa
hierarchini	xʲɛ.rarˈxʲi.ɲi
hieroglif	xʲɛˈrɔɡ.lʲif
higiena	xʲiˈɡʲɛ.na
higienicznie	xʲi.ɡʲɛˈɲit͡ʂ.ɲɛ
himalajski	xʲi.maˈlaj.skʲi
hindi	ˈhindi
hinduizm	xʲinˈdu.izm
hiperbola	ˈhipɛrbolɒ
hipis	ˈxʲi.pʲis
hipokryzja	xʲi.pɔˈkrɨz.ja
hipopotam	xʲi.pɔˈpɔ.tam
hipoteka	xʲi.pɔˈtɛ.ka
hipoteza	xʲi.pɔˈtɛ.za
hiragana	ˌhɪ.ɹəˈɡæ.nə
histereza	xʲi.stɛˈrɛ.za
histeryczka	xʲi.stɛˈrɨt͡ʂ.ka
histeryk	xʲiˈstɛ.rɨk
historia	histoˈria
historii	xʲiˈs̪t̪ɔrʲji
historię	xʲiˈstɔ.rʲɛ
historyczny	xʲi.stɔˈrɨt͡ʂ.nɨ
historyk	xʲiˈstɔ.rɨk
histydyna	xʲi.stɨˈdɨ.na
hiszpański	xʲiʂˈpaɲ.skʲi
hit	hɪt
hobby	ˈhɒ.bi
hodować	xɔˈdɔ.vat͡ɕ
hodowca	xɔˈdɔf.t͡sa
hodowla	xɔˈdɔv.la
hojniejszy	xɔjˈɲɛj.ʂɨ
hojność	ˈxɔj.nɔɕt͡ɕ
hojny	ˈxɔj.nɨ
hokeista	xɔ.kɛˈi.sta
hokej	ʹɦokɛj
hokejowy	xɔ.kɛˈjɔ.vɨ
hokejówka	xɔ.kɛˈjuf.ka
hol	hoːl
holenderski	xɔ.lɛnˈdɛr.skʲi
holm	həʊm
holownik	xɔˈlɔv.ɲik
homar	ˈxɔmar
homeopatia	xɔ.mɛ.ɔˈpat.ja
homofobia	o̞mo̞ˈfo̞βja̠
homoniewiadomo	ˈxɔ.mɔ ɲɛ.vʲaˈdɔ.mɔ
homoseksualista	xɔ.mɔ.sɛk.su.aˈlʲi.sta
homoseksualizm	xɔ.mɔ.sɛk.suˈa.lʲizm
homoseksualność	xɔ.mɔ.sɛk.suˈal.nɔɕt͡ɕ
homoseksualny	xɔ.mɔ.sɛk.suˈal.nɨ
hongkoński	hɔŋˈkɔɲ.ski
horda	ˈhordɒ
hormon	ˈxɔr.mɔn
horoskop	ˈɦo.ro.skop
horyzont	xɔˈrɨ.zɔnt
hostia	ˈhos.ti.a
hotel	həʊˈtɛl
hotelu	xɔˈtɛ.lu
house	haʊs
hołd	xɔwt
hołota	xɔˈwɔ.ta
hoży	ˈxɔ.ʐɨ
i	aɪ
ibis	ˈaɪ.bɪs
iBook	ˈaj.buk
ich	itʃ
ichtiologia	ix.tjɔˈlɔ.ɡʲa
idealna	i.dɛˈal.na
idealne	i.dɛˈal.nɛ
idealny	i.dɛˈal.nɨ
ideał	iˈdɛ.aw
identyfikować	i.dɛn.tɨ.fʲiˈkɔ.vat͡ɕ
identyfikując	i.dɛn.tɨ.fʲiˈku.jɔnt͡s
identyfikujący	i.dɛn.tɨ.fʲi.kuˈjɔn.t͡sɨ
idiom	ˈɪdɪəm
idiomatyczny	i.di.ɔ.maˈtɨt͡ʂ.nɨ
idiota	i.diˈoː.ta
idiotoodporny	iˌdʲɔ.tɔ.ʔɔtˈpɔr.nɨ
idiotą	i.diˈɔ.tɔ̃
idol	ˈaɪd(ə)l
idola	iˈdɔla
idole	i.dɔl
idzie	ˈi.d͡ʑɛ
idziecie	iˈd͡ʑɛ.t͡ɕɛ
idziemy	iˈd͡ʑɛ.mɨ
idziesz	ˈi.d͡ʑɛʂ
idą	ˈi.dɔ̃
idąc	ˈi.dɔnt͡s
idę	ˈi.dɛ
idź	it͡ɕ
idźcie	ˈit͡ɕ.t͡ɕɛ
igiełka	iˈɡʲɛw.ka
iglasty	iɡˈla.stɨ
igloo	ˈɪɡluː
ignorowanie	iɡ.nɔ.rɔˈva.ɲɛ
ignorować	iɡ.nɔˈrɔ.vat͡ɕ
ignorując	iɡ.nɔˈru.jɔnt͡s
ignorujący	iɡ.nɔ.ruˈjɔn.t͡sɨ
igrać	ˈi.ɡrat͡ɕ
igrek	ˈi.ɡrɛk
igrzyska	iˈɡʐɨ.ska
iguana	ɪˈɡwɑːnə
igła	ˈi.ɡwa
ikona	iˈkɔ.na
ikonostas	i.kɔˈnɔ.stas
ile	ˈiː.le
ilemaszlat	ˈi.lɛ maʂ lat
iloczyn	iˈlɔ.t͡ʂɨn
iloraz	iˈlɔ.ras
ilość	ˈi.lɔɕt͡ɕ
ilustracja	i.luˈstrat͡s.ja
im	ɪm
iMac	ˈajmak
imadło	iˈma.dwɔ
imbir	ˈim.bʲir
imbirowy	im.bʲiˈrɔ.vɨ
imienia	iˈmʲɛ.ɲa
imieniem	iˈmʲɛ.ɲɛm
imieniny	i.mʲɛˈɲi.nɨ
imieniu	iˈmʲɛ.ɲu
imiesłów	iˈmʲɛ.swuf
imiona	iˈmjɔna
imitacja	i.mʲiˈta.t͡sʲja
imię	ˈi.mʲɛ
immunitet	im.muˈɲi.tɛt
implozja	imˈplɔzja
imponować	im.pɔˈnɔ.vat͡ɕ
importując	im.pɔrˈtu.jɔnt͡s
importujący	im.pɔr.tuˈjɔn.t͡sɨ
impotencja	im.pɔˈtɛn.t͡sja
impreza	imˈprɛ.za
imprezę	imˈprɛ.zɛ
impuls	ˈim.puls
inaczej	iˈna.t͡ʂɛj
ind	int
indoeuropejski	in.dɔ.ɛ.wrɔˈpɛj.skʲi
indonezyjski	in.dɔ.nɛˈzɨj.skʲi
indyczka	inˈdɨt͡ʂ.ka
indyjski	inˈdɨj.skʲi
indyk	ˈin.dɨk
infekcja	iˈnfɛk.t͡sja
inflacja	iˈnflat͡s.ja
informacja	i.nfɔrˈmat͡s.ja
informacje	i.nfɔrˈmat͡s.jɛ
informacji	i.nfɔrˈmat͡s.ji
informatyk	i.nfɔrˈma.tɨk
informatyka	in.fɔrˈma.tɨk.a
informować	i.nfɔrˈmɔ.vat͡ɕ
infraczerwony	i.nfra.t͡ʂɛrˈvɔ.nɨ
infrastruktura	i.nfra.strukˈtu.ra
ingerencja	in.ɡɛˈrɛn.t͡sja
inkaust	ˈin.kawst
inkunabuł	inkunabuw
inna	ˈɪnːa
inne	ˈɪn̠ʲə
innego	ĩˈn̪ːɛɡɔ
innej	ˈĩn̪ːɛj
innemu	ĩˈn̪ːɛ̃mu
inni	ˈinːi
inny	ˈin.nɨ
innych	ˈĩn̪ːɨx
innym	ˈĩn̪ːɨ̃m
innymi	ĩˈn̪ːɨ̃mʲi
innymisłowy	inˈnɨ.mʲi ˈswɔ.vɨ
inną	ˈĩn̪ːɔ̃w̃
insidejob	ˌinsajd ˈd͡ʐɔp
insidejoba	ˌinsajd ˈd͡ʐɔba
insidejobach	ˌinsajd ˈd͡ʐɔbax
insidejobami	ˌinsajd d͡ʐɔˈbami
insidejobem	ˌinsajd ˈd͡ʐɔbɛm
insidejobie	ˌinsajd ˈd͡ʐɔbje
insidejobom	ˌinsajd ˈd͡ʐɔbɔm
insidejobowi	ˌinsajd d͡ʐɔˈbɔvi
insidejoby	ˌinsajd ˈd͡ʐɔbɨ
insidejobów	ˌinsajd ˈd͡ʐɔbuf
instalacyjny	in.sta.laˈt͡sɨj.nɨ
instalować	in.staˈlɔ.vat͡ɕ
instytut	inˈstɨ.tut
insulina	in.suˈlʲi.na
insynuacja	in.sɨ.nuˈat͡s.ja
insynuować	in.sɨ.nuˈɔ.vat͡ɕ
inteligencja	in.tɛ.lʲiˈɡɛn.t͡sja
inteligentniejszy	in.tɛ.lʲi.ɡɛnˈtɲɛj.ʂɨ
inteligentny	in.tɛ.lʲiˈɡɛn.tnɨ
intensywny	in.tɛ̃ˈsɨv.nɨ
interes	inˈtɛ.rɛs
interesu	in.tɛˈrɛ.su
interesuje	in.tɛ.rɛˈsu.jɛ
interesy	in.tɛˈrɛ.sɨ
internetowa	in.tɛr.nɛˈtɔ.va
internetowy	in.tɛr.nɛˈtɔ.vɨ
internista	in.tɛrˈɲi.sta
interpunkcja	in.tɛrˈpun.kt͡sja
interpunkcyjny	in.tɛr.punˈkt͡sɨj.nɨ
intryga	inˈtrɨ.ɡa
intymniejszy	in.tɨmˈɲɛj.ʂɨ
intymny	inˈtɨm.nɨ
inwalida	in.vaˈlʲi.da
inwestycja	in.vɛˈstɨt͡s.ja
inżynieria	in.ʐɨˈɲɛ.rʲa
iPhone	ˈa.jfɔn
iPod	ˈaj.pɔt
irlandzki	irˈlan.t͡skʲi
ironia	iː.roːˈniː.a
ironicznie	i.rɔˈɲit͡ʂ.ɲɛ
ironie	i.ʁɔ.ni
iryd	ˈi.rɨt
iskać	ˈi.skat͡ɕ
iskra	ˈi.skra
islam	i.slam
islamofobia	is.la.mɔˈfɔ.bʲa
islamski	isˈlam.skʲi
islandzki	isˈlan.t͡skʲi
istnieje	iˈstɲɛ.jɛ
istnieją	iˈstɲɛ.jɔ̃
istnienie	iˈstɲɛ.ɲɛ
istnieć	ˈi.stɲɛt͡ɕ
istota	iˈstɔ.ta
itakdalej	i tak ˈda.lɛj
iterb	ˈi.tɛrp
itr	itr
ityle!	i ˈtɨ.lɛ
izba	ɪzˈbɑː
izdebka	izˈdɛp.ka
ił	iw
iść	iɕt͡ɕ
iśćwcholerę	ˈiɕt͡ɕ fxɔˈlɛ.rɛ
ja	jaː
jabol	ˈja.bɔl
jabłczan	ˈja.bwt͡ʂan
jabłecznik	jaˈbwɛt͡ʂ.ɲik
jabłko	ˈjapw.kɔ
